Phylum,001074-B16SV4,001066-B16SV4,001058-B16SV4,001023-B16SV4,001015-B16SV4,001007-B16SV4,000990-B16SV4,000981-B16SV4,000973-B16SV4,000965-B16SV4,000957-B16SV4,000949-B16SV4,000931-B16SV4,000922-B16SV4,000914-B16SV4,000906-B16SV4,000892-B16SV4,000744-B16SV4,000736-B16SV4,000710-B16SV4,000680-B16SV4,000671-B16SV4,000663-B16SV4,000655-B16SV4,000647-B16SV4,000639-B16SV4,000621-B16SV4,000612-B16SV4,000582-B16SV4,000574-B16SV4,000566-B16SV4,000558-B16SV4,000540-B16SV4,000523-B16SV4,000515-B16SV4,000507-B16SV4,000493-B16SV4,000469-B16SV4,000434-B16SV4,000426-B16SV4,000361-B16SV4,000329-B16SV4,000311-B16SV4,000205-B16SV4,000175-B16SV4,000159-B16SV4,000141-B16SV4,000132-B16SV4,000116-B16SV4,000124-B16SV4
Cyanobacteria,31959,12958,26522,143,1324,4194,3849,511,2399,3496,27178,508,10312,130,15462,12294,257,33681,21252,27841,244,11338,13593,23828,15967,16910,63,2528,12557,56,16519,5815,23422,245,12389,9827,37401,8884,4602,3986,58473,13494,18597,8793,27095,21087,5123,63,85,239
Proteobacteria,3013,988,1613,42,136,469,243,108,185,281,2788,52,1211,51,1805,1324,48,2617,2073,4556,59,1151,2076,2896,1050,1141,30,209,1695,31,1528,366,2199,66,1223,1003,5040,866,295,316,7976,1178,1882,783,2420,2116,321,130,59,63
Firmicutes,173,52,73,0,4,63,26,3,5,12,121,2,73,2,104,59,2,114,93,295,1,59,97,143,55,41,0,10,87,2,83,18,113,2,54,44,316,45,12,20,461,63,101,50,134,131,11,0,4,3
Tenericutes,118,64,65,2,8,18,20,2,13,10,79,4,39,0,50,46,2,99,62,127,0,42,42,69,76,62,1,10,37,0,67,28,83,0,51,35,144,38,17,21,227,53,75,36,102,64,16,0,1,1
DNA,8,4,4,38,40,34,33,26,33,26,17,19,13,19,20,21,11,8,11,10,24,19,13,18,5,7,12,8,20,19,20,25,25,17,16,36,17,23,32,24,9,19,14,19,15,14,14,10,24,23
Chloroflexi,14,3,5,0,0,3,0,0,2,2,12,0,1,0,3,5,0,12,9,9,0,0,3,5,0,8,0,0,3,0,7,0,9,0,2,3,10,2,2,2,24,3,11,2,9,8,0,0,0,0
Actinobacteria,5,1,7,0,0,5,4,0,0,2,12,0,3,0,5,1,0,9,9,8,1,3,2,4,2,6,0,0,7,1,1,1,4,0,3,1,19,1,5,0,17,5,7,0,3,7,0,0,0,0
Verrucomicrobia,3,3,6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,6,7,2,0,0,3,2,0,1,0,1,6,0,1,1,6,0,0,1,5,0,1,2,6,0,4,1,2,1,0,0,0,0
Bacteroidetes,1,1,0,1,0,1,0,0,0,0,6,1,0,0,2,0,1,0,8,3,0,0,0,1,1,1,0,0,1,0,0,0,2,0,4,0,2,0,5,1,3,1,7,0,4,2,0,0,0,0
Crenarchaeota,2,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1
Planctomycetes,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,3,0,3,2,0,0,0,0
Fusobacteria,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Acidobacteria,0,1,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thermi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
