Phylum,004031-B16SV4,003964-B16SV4,003956-B16SV4,003948-B16SV4,003930-B16SV4,003921-B16SV4,003913-B16SV4,003905-B16SV4,003891-B16SV4,003883-B16SV4,003875-B16SV4,003808-B16SV4,003832-B16SV4,003794-B16SV4,003751-B16SV4,003743-B16SV4,003689-B16SV4,003671-B16SV4,003581-B16SV4,003573-B16SV4,003565-B16SV4,003557-B16SV4,003387-B16SV4,003379-B16SV4,003361-B16SV4,003352-B16SV4,003221-B16SV4,003212-B16SV4,003204-B16SV4,003182-B16SV4,003174-B16SV4,003166-B16SV4,003158-B16SV4,003140-B16SV4,003131-B16SV4,003123-B16SV4,003115-B16SV4,003085-B16SV4,003077-B16SV4,003051-B16SV4,003026-B16SV4,003000-B16SV4,002992-B16SV4,002984-B16SV4,002976-B16SV4,002909-B16SV4,002895-B16SV4,002887-B16SV4,002879-B16SV4,002780-B16SV4,002771-B16SV4,002763-B16SV4,002755-B16SV4,002739-B16SV4,002721-B16SV4,002712-B16SV4,002577-B16SV4,002569-B16SV4,002551-B16SV4,002542-B16SV4,002526-B16SV4,002518-B16SV4,002500-B16SV4,002496-B16SV4,002488-B16SV4,002470-B16SV4,002461-B16SV4,002453-B16SV4,002429-B16SV4,002411-B16SV4,002330-B16SV4,002283-B16SV4,002267-B16SV4,002259-B16SV4,002224-B16SV4,002208-B16SV4,002186-B16SV4,002178-B16SV4,002062-B16SV4,002054-B16SV4,002046-B16SV4,001872-B16SV4,001864-B16SV4,001856-B16SV4,001805-B16SV4,001783-B16SV4,001775-B16SV4,001627-B16SV4,001619-B16SV4,001562-B16SV4,001554-B16SV4,001422-B16SV4,001406-B16SV4,001392-B16SV4,001384-B16SV4,001368-B16SV4,001350-B16SV4,001121-B16SV4,001104-B16SV4,001082-B16SV4
Cyanobacteria,235,4120,13141,812,4599,13797,6407,11876,21983,7178,8109,39895,192,55852,137,2062,91,5253,54691,20875,28327,45857,3777,61,132,219,4418,2866,36964,66,2050,7717,1162,1569,137,10005,9753,1392,57,55,4713,79,3697,858,34632,35011,31436,14165,3589,5102,1214,32965,28198,35296,93,160,3749,9050,4451,2276,8821,11970,10410,1830,41,15248,17021,15120,201,2263,66,676,34173,3158,37722,73,20526,629,20771,21737,26475,612,573,155,473,110,4789,2490,6713,4655,7298,4438,25,1617,2436,31806,26125,21547,4082,65
Proteobacteria,44,407,1157,83,487,1235,440,3072,1848,580,1181,5522,28,7606,50,135,41,381,7121,1512,4150,4331,221,33,64,63,459,202,6382,34,216,603,138,171,48,862,940,154,58,72,349,33,213,111,3409,5333,3380,1161,200,526,140,2807,2630,4656,35,37,268,604,233,173,666,1587,1058,187,25,1680,1680,1859,88,154,30,88,3857,218,4639,50,1440,98,3276,2830,4401,105,76,62,218,41,331,209,246,369,589,503,83,111,116,4370,2779,23132,415,47
Firmicutes,0,28,63,1,19,68,20,194,100,30,62,281,0,414,31,6,50,27,405,97,233,275,15,1,0,3,24,8,368,9,6,24,10,12,3,41,49,5,1,5,14,1,3,3,219,307,154,66,6,32,6,174,136,272,3,0,17,23,11,13,28,101,52,9,0,102,98,88,2,11,0,4,241,16,200,1,108,9,158,180,231,19,21,21,3,1,85,9,8,16,28,21,4,4,5,258,143,2591,19,17
Tenericutes,1,18,39,1,12,45,21,51,87,22,33,162,2,229,1,8,0,21,215,68,107,199,11,1,0,0,24,16,156,1,10,30,3,6,1,38,30,1,4,1,20,0,19,3,150,121,110,47,10,22,7,121,124,151,1,0,10,43,18,11,30,46,31,5,0,52,82,46,4,2,1,3,157,5,95,0,70,2,57,92,107,2,4,4,1,0,11,8,24,13,28,20,0,4,10,114,95,99,17,1
Actinobacteria,0,1,3,1,2,5,1,7,4,1,4,13,0,18,1,0,0,1,13,24,13,8,2,1,0,0,1,1,6,0,0,3,0,0,0,3,3,1,0,0,1,0,0,0,10,12,6,2,0,8,0,10,10,13,0,0,0,2,0,0,1,4,3,0,0,6,11,9,0,0,0,2,4,2,22,0,11,0,9,6,44,3,1,0,0,0,4,0,0,0,5,1,1,2,0,9,5,2376,3,0
Fusobacteria,0,1,3,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2685,3,0
Bacteroidetes,0,2,0,0,1,3,0,58,2,0,1,3,0,9,1,0,0,0,8,31,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,5,13,1,0,0,0,1,1,0,1,0,2,0,0,1,5,2,1,0,0,1,4,0,0,1,2,1,0,3,246,5,2,2,0,0,1,2,0,0,1,0,0,0,0,2,3,2238,0,0
DNA,6,59,36,56,64,24,27,12,11,19,18,8,10,12,8,14,14,45,15,32,18,10,11,25,29,16,18,15,9,26,28,33,56,15,17,27,20,9,24,43,19,33,15,30,6,8,9,32,29,20,30,12,12,6,21,12,24,24,15,16,15,13,23,18,4,21,12,8,33,17,16,10,7,20,7,12,24,15,11,10,4,47,32,19,24,27,17,20,10,28,18,20,16,39,14,31,36,22,71,10
Chloroflexi,1,1,5,0,4,3,4,5,15,1,2,22,0,27,1,0,0,0,17,13,6,10,0,1,0,0,2,0,10,0,0,5,2,0,0,5,3,0,1,0,1,1,0,1,16,12,9,6,2,3,0,6,9,16,1,0,1,3,3,0,1,2,6,2,0,5,4,9,0,0,0,0,15,0,12,1,10,0,8,7,10,0,0,1,0,0,0,2,2,3,0,0,0,0,3,4,10,3,1,0
Verrucomicrobia,0,0,3,0,1,1,1,0,0,1,2,7,0,9,0,0,0,0,10,4,7,4,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,4,4,0,1,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,7,3,5,0,0,0,0,3,0,9,0,4,0,11,5,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,5,4,6,0,0
Planctomycetes,0,0,0,0,1,2,1,0,0,0,1,0,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,2,3,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0
Crenarchaeota,0,0,1,0,0,0,1,2,1,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,1,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0
