Phylum,019305-B16SV4,019224-B16SV4,019216-B16SV4,006106-B16SV4,006068-B16SV4,006050-B16SV4,006041-B16SV4,005983-B16SV4,005941-B16SV4,005916-B16SV4,005886-B16SV4,005851-B16SV4,005801-B16SV4,005746-B16SV4,005657-B16SV4,005631-B16SV4,005487-B16SV4,005461-B16SV4,005436-B16SV4,005312-B16SV4,004952-B16SV4,004677-B16SV4,004537-B16SV4,004481-B16SV4,004421-B16SV4,004308-B16SV4,004294-B16SV4,004065-B16SV4,003841-B16SV4,003786-B16SV4,003778-B16SV4,003760-B16SV4,003735-B16SV4,003191-B16SV4,003107-B16SV4,003093-B16SV4,003069-B16SV4,003018-B16SV4,002968-B16SV4,002950-B16SV4,002747-B16SV4,002585-B16SV4,002534-B16SV4,002445-B16SV4,002437-B16SV4,002399-B16SV4,002381-B16SV4,002291-B16SV4,002216-B16SV4,002194-B16SV4,002038-B16SV4,001881-B16SV4,001848-B16SV4,001830-B16SV4,001791-B16SV4,001414-B16SV4,001376-B16SV4,001112-B16SV4,001091-B16SV4,001031-B16SV4,000795-B16SV4,000728-B16SV4,000531-B16SV4,000451-B16SV4,000442-B16SV4,000418-B16SV4,000353-B16SV4,000191-B16SV4,000183-B16SV4,000167-B16SV4
Cyanobacteria,54,34,268,78,906,27,27,236,52,53,1262,104,67,929,74,59,59,75,13,54,81,119,40,28,117,397,22,32,128,111,100,390,57,100,47,108,319,38,28,31,1291,73,32,46,54,1357,52,145,1417,107,3937,132,21,35,58,323,45,79,514,176,37,95,40,109,110,39,721,85,111,62
Proteobacteria,10,8,68,106,137,12,7,53,8,7,60,8,17,153,20,23,39,45,7,17,17,28,21,6,27,67,4,8,34,44,16,51,6,24,8,21,96,14,5,6,124,13,10,7,14,135,11,28,144,18,464,45,9,17,12,77,10,25,71,33,5,13,2,14,19,9,141,10,33,12
Firmicutes,14,0,5,18,9,0,1,11,1,0,5,0,0,10,1,1,5,5,0,0,2,0,0,0,5,11,0,0,2,22,53,1,1,0,1,0,4,0,2,0,10,2,0,0,1,12,0,3,6,3,18,27,0,2,1,5,0,1,1,1,0,1,0,0,0,0,15,0,1,6
DNA,1,0,6,4,6,0,1,5,0,3,5,2,0,2,6,1,4,6,0,2,1,4,3,6,0,1,2,2,6,3,2,0,1,8,0,1,0,2,0,2,2,2,0,3,2,7,3,3,4,3,2,7,0,1,3,1,2,5,7,4,3,3,3,5,1,2,8,2,2,0
Tenericutes,0,0,1,0,5,0,0,0,2,0,2,0,0,2,0,1,0,2,0,0,0,0,1,1,0,1,0,0,3,1,0,1,1,0,0,2,1,0,0,0,9,0,0,0,0,2,0,2,4,0,11,1,0,0,1,3,0,0,1,0,0,0,0,2,0,0,2,0,2,0
Bacteroidetes,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0,0,4,0,2,0,0,0,1,0,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Chloroflexi,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Verrucomicrobia,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Thermi,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydiae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
