Phylum,019691-B16SV4,019674-B16SV4,019682-B16SV4,019666-B16SV4,019640-B16SV4,019631-B16SV4,019623-B16SV4,019615-B16SV4,006351-B16SV4,006319-B16SV4,006262-B16SV4,006327-B16SV4,006254-B16SV4,006238-B16SV4,006211-B16SV4,005614-B16SV4,005592-B16SV4,005606-B16SV4,005584-B16SV4,005576-B16SV4,005568-B16SV4,005274-B16SV4,005185-B16SV4,004987-B16SV4,004871-B16SV4,004731-B16SV4,004740-B16SV4,004553-B16SV4,004316-B16SV4,004189-B16SV4,004171-B16SV4,004162-B16SV4,004154-B16SV4,004138-B16SV4,004120-B16SV4,004111-B16SV4,004103-B16SV4,004090-B16SV4,004081-B16SV4,004022-B16SV4,003999-B16SV4,003981-B16SV4,003972-B16SV4,003859-B16SV4,003867-B16SV4,003824-B16SV4,003727-B16SV4,003701-B16SV4,003719-B16SV4,003697-B16SV4,003620-B16SV4,003638-B16SV4,003603-B16SV4,003590-B16SV4,003514-B16SV4,003522-B16SV4,003506-B16SV4,003492-B16SV4,003344-B16SV4,003328-B16SV4,003271-B16SV4,002844-B16SV4,002810-B16SV4,002798-B16SV4,002828-B16SV4,002801-B16SV4,002658-B16SV4,002593-B16SV4,002640-B16SV4,002615-B16SV4,002607-B16SV4,002020-B16SV4,002364-B16SV4,002011-B16SV4,002003-B16SV4,001996-B16SV4,003263-B16SV4,003042-B16SV4,001970-B16SV4,001937-B16SV4,001945-B16SV4,001821-B16SV4,001759-B16SV4,001732-B16SV4,001716-B16SV4,001708-B16SV4,002356-B16SV4,002348-B16SV4,002275-B16SV4,002143-B16SV4,002101-B16SV4,002089-B16SV4,002097-B16SV4,002071-B16SV4,001597-B16SV4,001490-B16SV4,001465-B16SV4,001457-B16SV4,001449-B16SV4,001431-B16SV4,001309-B16SV4,001325-B16SV4,001317-B16SV4,001295-B16SV4,001287-B16SV4,001261-B16SV4,001252-B16SV4,001279-B16SV4,001244-B16SV4,001236-B16SV4,001228-B16SV4,001210-B16SV4,001201-B16SV4,001198-B16SV4,001180-B16SV4,001171-B16SV4,001163-B16SV4,001155-B16SV4,001147-B16SV4,001139-B16SV4,000884-B16SV4,000868-B16SV4,000841-B16SV4,000787-B16SV4,000779-B16SV4,000604-B16SV4,000591-B16SV4,000485-B16SV4,000477-B16SV4,000388-B16SV4,000370-B16SV4,000281-B16SV4,000272-B16SV4,000256-B16SV4,000248-B16SV4,000213-B16SV4,000264-B16SV4,000230-B16SV4
Cyanobacteria,38748,22824,31994,17662,22797,26990,12366,37873,11872,16594,10073,19865,24020,32743,38357,27214,679,865,20861,200,35262,27581,19014,42,41391,32945,32567,637,47486,452,5988,21949,21427,17765,32033,22107,31467,31869,7532,24978,31053,7383,39798,30699,30223,29698,33915,43019,10123,26533,19661,27832,39720,27668,23609,24188,46231,47961,302,20978,32415,23023,14538,28296,29782,620,54,788,572,43213,1252,52477,102,29193,23301,16723,2469,69,17218,22613,9646,34957,15508,18415,138,34852,3017,193,578,11554,6157,29030,37139,32876,965,16259,35123,23951,42612,36018,37902,38449,21646,30167,33962,32598,30978,16717,19380,37044,40013,36011,43770,25081,33898,11892,21012,33885,29971,33219,32257,972,39070,32884,44909,18021,21934,4065,241,3619,27003,39579,52654,37610,25428,223,37264,9501
Proteobacteria,6818,5135,4174,3605,3891,2678,1297,3284,830,2951,1072,1041,2917,2734,3726,2312,28317,115,3307,91,6954,10434,1891,19946,7285,4049,3540,94,7255,102,349,1743,2218,1200,2748,1457,2917,4470,928,2370,1418,573,5091,2207,1683,2679,5109,6223,891,1995,1522,2565,3974,2368,3675,3524,6896,7234,57,1388,3811,1873,1107,3088,5977,14188,70,209,175,3554,281,8301,68,3296,1289,791,233,16526,1490,3044,955,4422,2222,1748,61,1009,370,117,106,1099,607,3841,7531,4074,69,1536,6503,4314,8843,5649,5357,7483,2074,4213,3666,6662,4639,2890,1518,6052,8052,5160,7972,2763,4361,1744,2110,4091,4139,4051,5016,245,3158,6508,6786,3498,1256,874,226,258,2540,5615,6397,4578,2055,61,4045,499
Firmicutes,437,310,271,233,315,169,108,185,50,209,73,73,185,197,289,388,9793,33027,227,9,436,539,142,11270,498,269,227,8,413,23,28,122,145,74,197,102,161,296,75,179,140,70,415,126,100,216,371,420,85,146,122,189,284,168,226,231,423,420,4,235,267,132,556,4210,553,25195,10,32,29,251,28,493,5,228,57,45,17,24101,94,141,110,321,141,138,13,50,31,18,5,70,41,252,517,299,6,98,407,266,589,371,408,523,153,279,299,478,380,213,98,393,533,399,496,195,337,128,156,249,307,276,364,106,236,448,552,241,103,14647,59868,19,157,403,423,353,169,32,294,29
Tenericutes,92,51,77,52,50,72,34,101,20,45,24,34,69,68,114,66,11,43,40,1,94,65,38,0,100,79,81,3,120,2,11,51,46,50,73,59,66,86,13,66,81,50,109,66,80,74,78,95,20,62,47,59,96,76,57,55,114,99,1,51,89,55,36,145,80,12,0,5,2,114,3,136,0,78,41,35,6,3,34,59,14,89,48,66,2,88,16,3,2,34,11,65,77,95,1,34,68,52,79,108,97,91,63,107,83,103,108,43,44,99,116,89,95,46,84,30,39,77,59,74,65,7,98,95,103,46,59,95,24,15,70,100,101,111,58,0,100,17
Actinobacteria,31,14,12,15,33,16,14,42,4,12,2,12,7,7,56,47,6,4,17,4,46,156,8,4,14,10,4,1,13,1,9,3,5,10,1,19,5,8,2,6,10,22,30,14,3,122,22,16,11,4,5,16,17,15,7,23,31,12,0,10,16,7,9,5,54,1,1,1,2,46,6,29,1,8,983,6,2,6,3,14,8,13,1,48,4,6,1,0,1,2,1,7,30,11,5,2,7,7,19,24,23,25,9,15,5,18,22,7,26,32,9,14,17,3,15,1,6,22,17,4,12,4,37,19,9,154,5,740,18,2,8,11,22,32,40,3,19,0
Bacteroidetes,23,35,2,9,50,25,4,32,7,20,5,2,3,1,8,31,69,1,10,1,29,67,3,1,7,5,2,1,5,2,4,2,0,7,1,11,12,7,0,1,29,15,7,3,3,148,11,4,13,7,5,15,4,7,3,12,20,9,0,11,7,5,5,5,11,5,1,2,1,21,3,9,1,2,7,13,0,2,1,22,4,13,0,21,6,0,0,2,0,0,0,7,0,1,1,2,4,12,4,11,46,10,5,30,6,17,36,2,19,20,9,2,1,0,1,1,1,9,8,0,6,1,26,3,1,82,6,4,11,3,1,2,9,30,13,0,5,0
Chloroflexi,16,10,6,7,14,9,6,14,5,2,3,11,13,4,10,11,2,1,3,0,12,13,5,0,17,12,18,0,15,1,2,6,4,4,7,2,8,12,6,4,11,3,11,11,10,7,13,9,3,5,10,12,12,9,8,8,15,14,1,8,10,8,5,6,17,0,2,2,1,15,1,11,1,7,2,5,1,0,3,11,0,10,4,2,0,10,0,0,1,3,1,11,15,11,0,5,12,3,28,16,19,15,7,6,10,14,7,6,5,15,11,10,18,8,15,8,8,14,13,6,11,1,17,19,11,11,6,2,5,3,8,16,18,9,9,1,14,4
DNA,2,4,3,6,8,4,1,1,7,5,3,1,2,12,1,8,1,5,4,30,2,2,6,1,3,3,1,29,0,29,10,5,12,3,4,2,1,0,3,7,5,7,3,4,2,11,2,3,1,3,6,5,1,3,2,4,0,1,16,1,3,2,7,5,3,2,15,40,36,3,24,2,38,4,4,3,12,0,2,1,1,1,14,11,16,4,42,53,36,11,13,8,4,3,17,1,0,11,2,4,1,1,3,1,0,2,1,9,0,4,4,4,5,0,4,4,3,3,2,2,6,32,4,5,10,0,4,12,2,8,6,5,4,5,6,24,9,11
Verrucomicrobia,10,4,4,4,5,5,1,7,0,7,0,2,1,4,2,7,0,1,7,1,11,14,1,0,8,6,6,0,7,0,0,3,1,3,1,2,6,4,0,3,7,3,5,3,1,28,10,9,1,3,3,2,3,3,3,8,8,12,0,3,5,3,1,3,13,0,0,3,0,7,0,7,0,3,2,4,0,0,5,0,0,1,0,2,0,0,0,0,0,1,1,4,6,3,0,0,4,4,11,11,11,7,3,7,0,10,3,2,3,7,6,6,5,2,3,1,3,7,7,5,4,0,11,5,10,9,1,0,2,0,1,9,1,4,3,0,4,1
Acidobacteria,7,2,0,2,23,12,4,55,0,0,0,0,4,0,0,9,0,0,3,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,12,3,5,4,7,0,0,1,0,1,2,1,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,0,0,0,0,1,0,7,4,0,1,1,0
