Phylum,019704-B16SV4,019658-B16SV4,019241-B16SV4,006441-B16SV4,006432-B16SV4,006424-B16SV4,006416-B16SV4,006343-B16SV4,006335-B16SV4,006246-B16SV4,006220-B16SV4,006190-B16SV4,006203-B16SV4,006181-B16SV4,006149-B16SV4,006173-B16SV4,005622-B16SV4,006131-B16SV4,005517-B16SV4,005401-B16SV4,005398-B16SV4,005380-B16SV4,005282-B16SV4,005371-B16SV4,005266-B16SV4,005258-B16SV4,005177-B16SV4,005169-B16SV4,005151-B16SV4,005142-B16SV4,005134-B16SV4,005126-B16SV4,005118-B16SV4,005096-B16SV4,005100-B16SV4,005070-B16SV4,005088-B16SV4,005061-B16SV4,005053-B16SV4,005045-B16SV4,005037-B16SV4,005029-B16SV4,005011-B16SV4,005002-B16SV4,004995-B16SV4,004979-B16SV4,004880-B16SV4,004863-B16SV4,004855-B16SV4,004847-B16SV4,004839-B16SV4,004821-B16SV4,004812-B16SV4,004791-B16SV4,004804-B16SV4,004782-B16SV4,004774-B16SV4,004766-B16SV4,004758-B16SV4,004723-B16SV4,004715-B16SV4,004642-B16SV4,004634-B16SV4,004618-B16SV4,004626-B16SV4,004600-B16SV4,004596-B16SV4,004588-B16SV4,004570-B16SV4,004561-B16SV4,004324-B16SV4,004286-B16SV4,004260-B16SV4,004278-B16SV4,004243-B16SV4,004251-B16SV4,004235-B16SV4,004146-B16SV4,004073-B16SV4,004006-B16SV4,004014-B16SV4,003816-B16SV4,003646-B16SV4,003611-B16SV4,003417-B16SV4,003425-B16SV4,003409-B16SV4,003395-B16SV4,003336-B16SV4,003310-B16SV4,003298-B16SV4,003301-B16SV4,003280-B16SV4,002852-B16SV4,002861-B16SV4,002836-B16SV4,002666-B16SV4,002623-B16SV4,002631-B16SV4,001988-B16SV4,003255-B16SV4,003247-B16SV4,003239-B16SV4,003034-B16SV4,001929-B16SV4,001961-B16SV4,001953-B16SV4,001902-B16SV4,001911-B16SV4,001899-B16SV4,001813-B16SV4,001767-B16SV4,001741-B16SV4,001724-B16SV4,002321-B16SV4,002313-B16SV4,002127-B16SV4,002135-B16SV4,002119-B16SV4,001694-B16SV4,001601-B16SV4,001546-B16SV4,001520-B16SV4,001538-B16SV4,001511-B16SV4,001503-B16SV4,001341-B16SV4,001333-B16SV4,000876-B16SV4,000850-B16SV4,000817-B16SV4,000833-B16SV4,000809-B16SV4,000825-B16SV4,000396-B16SV4,000400-B16SV4,000302-B16SV4,000299-B16SV4,000221-B16SV4
Cyanobacteria,34,868,318,44,85,34,46,39,28,56,60,5301,111,243,90,29,928,1060,48,129,78,51,33,151,86,43,52,104,228,2,21,66,47,3,6,31,19,19,53,20,34,77,50,10,54,11,114,23,173,78,28,26,232,154,90,169,33,11,122,294,334,26,21,35,160,21,27,84,38,88,54,68,7869,2372,40,52,73,1128,66,115,66,24,807,3856,134,18,29,20,59,62,100,430,77,96,124,5908,49,221,61,135,138,13,98,33,50,129,172,49,18,56,308,160,31,219,25,90,43,126,9,212,60,29,43,13,68,50,10,71,13,408,68,139,35,39,200,16,20,5,47
Proteobacteria,5,210,51,15,34,7,35,7,25,9,3,675,16,48,14,6,61,143,6,29,15,10,16,25,12,28,14,13,39,0,2,7,12,2,4,5,9,20,11,3025,11,889,15,3,136,3438,39,4,31,19,15,6,41,24,13,27,11,3,24,51,55,7,16,13,18,5,10,14,11,13,22,7,581,249,8,6,27,108,15,15,328,14,127,368,15,9,4648,508,14,34,15,54,20,16,15,558,29,54,34,33,29,7,8,20,7,26,18,12,4,11,76,19,6,45,3,8,9,140,2,52,9,19,5,1,4,2,6,8,10,61,43,29,27,19,55,7,5,1,8
Firmicutes,0,8,5,3,6,3,2,2,1,7,0,44,3,0,4,2,14,25,2,0,1,0,1,4,3,22,0,1,12,0,1,0,1,1,0,0,2,4,11,13,3,9,27,4,39,112,0,0,2,3,0,1,2,8,3,3,0,0,6,7,3,1,1,1,3,0,8,0,1,0,9,9,44,22,0,123,17,4,2,0,259,7,23,19,1,0,1803,77,7,24,4,7,4,7,8,50,4,9,4,3,8,4,0,21,4,3,1,6,2,2,13,4,1,11,1,1,1,53,2,4,1,6,0,2,1,0,0,1,2,25,10,1,19,5,8,2,0,0,0
Actinobacteria,0,0,0,1,0,0,2,0,3,2,0,1,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,73,0,0,1,1,1,0,2,0,3,0,2,1,1,0,1,2,0,0,0,0,0,0,0,2,0,0,8,0,0,0,3,0,0,3,1,3,9,3,0,0,1,0,0,1,0,1,1,0,0,26,1,2,0,0,0,0,0,2,1,0,0,0,1,0,4,0,0,5,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,6,9,0,4,1,2,0,0,0,0
Tenericutes,0,2,0,0,0,0,0,0,3,2,0,10,2,0,2,1,5,3,0,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,21,6,1,2,0,2,1,0,3,1,4,19,0,0,0,0,2,0,2,2,0,0,1,18,1,3,2,0,0,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,4,2,2,3,0,0,0,0,0,1
DNA,0,0,10,1,4,0,5,0,0,0,0,1,1,1,3,0,0,10,0,0,2,1,2,0,1,1,1,0,2,0,0,0,2,1,1,0,2,1,0,1,1,0,2,0,3,0,0,2,2,0,0,0,1,0,2,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,1,0,1,0,1,1,5,0,0,1,4,0,0,0,0,2,0,1,2,1,0,0,1,2,0,1,0,1,1,2,1,0,0,0,0,0,0,0,3,0,4,0,1,0,3,0,15,0,0,0,0,1,0,0,0,1,0,11,0,0,2,1,0,0,0,1
Bacteroidetes,0,0,0,0,1,0,1,0,4,0,0,2,0,0,3,0,0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,2,1,0,5,3,0,0,0,0,0,0,1,0,0,0,0,34,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,5,1,4,0,13,2,0,0,0
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Acidobacteria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Fusobacteria,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0
Verrucomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Planctomycetes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
